owner_category,owner_name,property_address,city,apn,lot_sqft,lot_acres,jurisdiction,zoning,property_use,assessed_land,assessed_improvement,assessed_total,improv_land_ratio,last_transfer_date,assessor_last_sale_date,lat,lon,score,score_reasons,source,current_use_web,current_use_source
3 Municipal,SAN JOSE CITY,,SAN JOSE,680-32-035,112709,2.587,SANTA CLARA,R1,VACANT LAND,0,0,0,,,,37.290926,-121.766516,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning R1 +12,ATTOM taxassessor (Santa Clara County),,
4 School / Public Ed,SAN JOSE UNIFIED S D,2230 UNIFIED WAY,SAN JOSE,456-19-001,111680,0.000,SANTA CLARA,R1AB,VACANT LAND,0,0,0,,,,37.298233,-121.873615,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning R1AB +12,ATTOM taxassessor (Santa Clara County),SJ Unified School District HQ address (Unified Way private road); parcel undeveloped ~2.56ac per listings — likely undeveloped part of district HQ campus,bandana.com; redfin.com
3 Municipal,CITY OF SAN JOSE,,SAN JOSE,491-35-018,108455,2.490,SANTA CLARA,R1-8,VACANT LAND,0,0,0,,2006-12-22,,37.335015,-121.824521,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning R1-8 +12,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,462-52-035,107593,2.470,SANTA CLARA,R1PD,VACANT LAND,0,0,0,,,1975-04-07,37.269142,-121.838572,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning R1PD +12,ATTOM taxassessor (Santa Clara County),,
2 Santa Clara County,SANTA CLARA COUNTY,,SAN JOSE,701-35-015,103522,2.377,SANTA CLARA,RR,VACANT LAND,0,0,0,,,,37.202434,-121.806101,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning RR +12,ATTOM taxassessor (Santa Clara County),,
2 Santa Clara County,SANTA CLARA COUNTY,,SAN JOSE,701-35-016,103421,2.374,SANTA CLARA,RR,VACANT LAND,0,0,0,,,,37.2024,-121.805413,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning RR +12,ATTOM taxassessor (Santa Clara County),,
2 Santa Clara County,SANTA CLARA COUNTY,,SAN JOSE,701-35-014,103014,2.365,SANTA CLARA,RR,VACANT LAND,0,0,0,,,,37.202469,-121.806788,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning RR +12,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,464-36-034,98881,2.270,SANTA CLARA,R1-8,VACANT LAND,0,0,0,,,1973-04-27,37.254195,-121.849569,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning R1-8 +12,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,9075 VILLAGE VIEW LOOP,SAN JOSE,665-64-016,98445,2.260,SANTA CLARA,R1,VACANT LAND,0,0,0,,,1990-12-07,37.289849,-121.732344,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning R1 +12,ATTOM taxassessor (Santa Clara County),"UNVERIFIED — 9075 not indexed on listing sites; Village View Loop is a residential subdivision (small lots), city-owned 2.26ac likely common-area/open-space remnant; needs GIS/site check",redfin.com; ownerly.com (no exact match)
3 Municipal,SAN JOSE CITY,,SAN JOSE,659-69-034,96267,2.210,SANTA CLARA,R1,VACANT LAND,0,0,0,,2003-08-28,2003-08-28,37.324439,-121.765735,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning R1 +12,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,670-32-043,93218,2.140,SANTA CLARA,R1,VACANT LAND,0,0,0,,,1977-12-06,37.312187,-121.819305,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning R1 +12,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,494-19-005,91912,2.110,SANTA CLARA,R1AB,VACANT LAND,0,0,0,,,1978-07-26,37.290584,-121.819024,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning R1AB +12,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY (CA),,SAN JOSE,689-64-054,90169,2.070,SANTA CLARA,R16,VACANT LAND,0,0,0,,2000-07-17,,37.240508,-121.808196,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning R16 +12,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY (CA),,SAN JOSE,689-64-055,87555,2.010,SANTA CLARA,R1-6,VACANT LAND,0,0,0,,2000-07-17,,37.240844,-121.808252,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning R1-6 +12,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SANTA CLARA CITY,5000 STARS AND STRIPES DR,SANTA CLARA,104-43-058,76477,1.756,SANTA CLARA,RIA,VACANT LAND,0,0,0,,,,37.403433,-121.964925,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning RIA +12,ATTOM taxassessor (Santa Clara County),"Parking lot near Levi's Stadium / Great America ACE station; within 240ac Related Santa Clara mixed-use plan (1,680 planned residential units)",parkme.com; discoversantaclara.org; santaclaraca.gov
3 Municipal,SAN JOSE CITY,,SAN JOSE,670-46-022,76230,1.750,SANTA CLARA,R1,VACANT LAND,0,0,0,,2017-09-13,2017-09-13,37.31645,-121.814596,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning R1 +12,ATTOM taxassessor (Santa Clara County),,
3 Municipal,PALO ALTO CITY,,PALO ALTO,132-06-029,69144,1.587,SANTA CLARA,R1,VACANT LAND,0,0,0,,,,37.421625,-122.114407,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning R1 +12,ATTOM taxassessor (Santa Clara County),,
4 School / Public Ed,EVERGREEN ELEMENTARY SCHOOL DI,,SAN JOSE,676-04-056,67260,1.544,SANTA CLARA,R1,VACANT LAND,0,0,0,,1998-08-31,,37.296463,-121.788446,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning R1 +12,ATTOM taxassessor (Santa Clara County),,
2 Santa Clara County,SANTA CLARA COUNTY,,SAN JOSE,742-03-019,66211,1.520,SANTA CLARA,RR-H1,VACANT LAND,0,0,0,,,1985-02-07,37.173099,-121.823843,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning RR-H1 +12,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,259-16-109,64798,1.488,SANTA CLARA,R,VACANT LAND,0,0,0,,,1979-08-31,37.344574,-121.90418,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning R +12,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SANTA CLARA CITY,,SANTA CLARA,104-43-060,62537,1.436,SANTA CLARA,RIA,VACANT LAND,0,0,0,,,,37.401092,-121.967954,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning RIA +12,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,491-02-025,58806,1.350,SANTA CLARA,R1B6,VACANT LAND,0,0,0,,,1978-04-04,37.333437,-121.810604,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning R1B6 +12,ATTOM taxassessor (Santa Clara County),,
3 Municipal,CITY OF CAMPBELL,316 UNION AVE,CAMPBELL,412-28-049,57499,1.320,SANTA CLARA,R-3,VACANT LAND,0,0,0,,2007-10-25,2007-10-25,37.282205,-121.934877,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning R-3 +12,ATTOM taxassessor (Santa Clara County),"Vacant land ~1.32ac, off-market (est ~$4.8M)",redfin.com
3 Municipal,SAN JOSE CITY PUBLIC WORKS RE,PORTOLA REDWOOD LN,SAN JOSE,421-40-102,56719,1.302,SANTA CLARA,R1,VACANT LAND,0,0,0,,2009-12-16,2009-12-16,37.251122,-121.938266,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning R1 +12,ATTOM taxassessor (Santa Clara County),UNVERIFIED — Cambrian (95124); owner = SJ Public Works Real Estate; 1.3ac R1 likely stormwater/landscape/remnant parcel; needs GIS/site check,(no exact match)
3 Municipal,CITY OF SAN JOSE,,SAN JOSE,659-80-051,53570,1.230,SANTA CLARA,R1,VACANT LAND,0,0,0,,2009-08-21,2009-08-21,37.312662,-121.765622,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning R1 +12,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,595-20-079,52272,1.200,SANTA CLARA,R1-5,VACANT LAND,0,0,0,,,1978-04-27,37.397634,-121.821822,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning R1-5 +12,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,456-25-003,50889,1.168,SANTA CLARA,R1B6,VACANT LAND,0,0,0,,,,37.290603,-121.877547,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning R1B6 +12,ATTOM taxassessor (Santa Clara County),,
3 Municipal,CITY OF SAN JOSE-PUBLIC WORKS,,SAN JOSE,455-62-031,50442,1.158,SANTA CLARA,R1AB,VACANT LAND,0,0,0,,2009-12-07,2009-12-07,37.282452,-121.856029,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning R1AB +12,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,494-19-006,47916,1.100,SANTA CLARA,R1AB,VACANT LAND,0,0,0,,,1978-07-26,37.290869,-121.822494,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning R1AB +12,ATTOM taxassessor (Santa Clara County),,
3 Municipal,MT VIEW CITY,1 MAGNOLIA LN,MOUNTAIN VIEW,160-75-025,43995,1.010,SANTA CLARA,R-1,VACANT LAND,0,0,0,,,,37.390143,-122.059297,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning R-1 +12,ATTOM taxassessor (Santa Clara County),"Vacant land ~1ac, off-market; on a residential street",redfin.com; zillow.com
3 Municipal,CITY OF SAN JOSE,,SAN JOSE,659-66-036,43758,1.005,SANTA CLARA,R1,VACANT LAND,0,0,0,,2009-08-21,2009-08-21,37.315381,-121.764769,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning R1 +12,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,264-13-015,42917,0.985,SANTA CLARA,M1,VACANT LAND,0,0,0,,1994-12-02,1994-12-02,37.321174,-121.912469,100,VACANT LAND +25; <1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,464-28-010,42489,0.975,SANTA CLARA,R1B6,VACANT LAND,0,0,0,,,1982-12-21,37.253749,-121.858491,100,VACANT LAND +25; <1ac infill +20; owner +5; zoning R1B6 +12,ATTOM taxassessor (Santa Clara County),,
3 Municipal,CITY OF SAN JOSE,2100 S WHITE RD,SAN JOSE,649-24-021,42253,0.970,SANTA CLARA,R1B6,VACANT LAND,0,0,0,,2009-07-07,2009-07-07,37.341203,-121.804991,100,VACANT LAND +25; <1ac infill +20; owner +5; zoning R1B6 +12,ATTOM taxassessor (Santa Clara County),UNVERIFIED — exact parcel not found on listing sites; city-owned 0.97ac R1 on S White Rd; needs GIS/site check,(no exact match)
3 Municipal,SAN JOSE CITY,,SAN JOSE,499-26-003,41790,0.959,SANTA CLARA,R1-8,VACANT LAND,0,0,0,,,1978-08-09,37.307757,-121.832376,100,VACANT LAND +25; <1ac infill +20; owner +5; zoning R1-8 +12,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY RE DIV,,SAN JOSE,464-22-034,40946,0.940,SANTA CLARA,R1B6,VACANT LAND,0,0,0,,2009-03-27,,37.252226,-121.838491,100,VACANT LAND +25; <1ac infill +20; owner +5; zoning R1B6 +12,ATTOM taxassessor (Santa Clara County),,
3 Municipal,CITY OF CAMPBELL,E CAMPBELL AVE,CAMPBELL,279-46-006,39845,0.915,SANTA CLARA,P-D,VACANT LAND,118222,0,118222,0.000,2009-01-13,2009-01-13,37.288771,-121.937743,100,VACANT LAND +25; <1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),Downtown Campbell near light-rail station; P-D planned development; area includes former Del Grande dealership site + Campbell 'Starter Home' program — POSSIBLE redevelopment parcel; verify exact parcel/APN,campbellca.gov; propzone.gridics.com
3 Municipal,CITY OF SAN JOSE,KERLEY DR,SAN JOSE,235-05-010,39024,0.896,SANTA CLARA,M1,VACANT LAND,0,0,0,,2014-06-30,2014-06-30,37.361263,-121.906482,100,VACANT LAND +25; <1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),UNVERIFIED — industrial/multifamily street (95112); city-owned 0.9ac M1 likely vacant industrial parcel; needs site check,loopnet.com; redfin.com (neighbors only)
3 Municipal,SAN JOSE CITY,,SAN JOSE,660-63-014,38650,0.887,SANTA CLARA,,VACANT LAND,0,0,0,,,,37.306226,-121.762128,100,VACANT LAND +25; <1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,264-25-126,38163,0.876,SANTA CLARA,R2,VACANT LAND,0,0,0,,,1976-02-24,37.325797,-121.89204,100,VACANT LAND +25; <1ac infill +20; owner +5; zoning R2 +12,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SUNNYVALE CITY,295 W EVELYN AVE,SUNNYVALE,209-06-082,37287,0.856,SANTA CLARA,C3PD,VACANT LAND,0,0,0,,2001-08-22,2001-08-22,37.378142,-122.030278,100,VACANT LAND +25; <1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),"Vacant land ~0.86ac, off-market (Redfin/Zillow); C3PD commercial-PD along Sunnyvale rail corridor",redfin.com; zillow.com
3 Municipal,SAN JOSE CITY (CA),280 S 2ND ST,SAN JOSE,467-46-097,37120,0.852,SANTA CLARA,CG,VACANT LAND,0,0,0,,2003-12-04,,37.33256,-121.885736,100,VACANT LAND +25; <1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),"NOT vacant despite assessor 'vacant land' — site is the 2nd & San Carlos Street parking garage + 3Below Theaters, downtown SJ (city-owned)",yelp.com; loopnet.com; parksj.org
3 Municipal,SAN JOSE CITY,,SAN JOSE,659-55-045,36684,0.842,SANTA CLARA,R1,VACANT LAND,0,0,0,,,,37.315692,-121.77074,100,VACANT LAND +25; <1ac infill +20; owner +5; zoning R1 +12,ATTOM taxassessor (Santa Clara County),,
3 Municipal,CITY OF SAN JOSE,,SAN JOSE,472-43-081,36590,0.840,SANTA CLARA,R1,VACANT LAND,0,0,0,,2007-08-13,2007-08-13,37.343199,-121.857448,100,VACANT LAND +25; <1ac infill +20; owner +5; zoning R1 +12,ATTOM taxassessor (Santa Clara County),,
3 Municipal,MT VIEW CITY,,MOUNTAIN VIEW,153-27-020,36510,0.838,SANTA CLARA,PF,VACANT LAND,0,0,0,,,,37.398132,-122.07867,100,VACANT LAND +25; <1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,SIERRA MEADOW CT,SAN JOSE,484-44-056,36400,0.836,SANTA CLARA,SJ,VACANT LAND,0,0,0,,,1988-03-28,37.356333,-121.83617,100,VACANT LAND +25; <1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),NOT INDIVIDUALLY VERIFIED — court in a subdivision; city 0.84ac likely open-space/landscape remnant; recommend GIS/site check,(not searched individually)
3 Municipal,CITY OF SAN JOSE,509 RIALTO PL,SAN JOSE,277-38-011,35284,0.810,SANTA CLARA,R1,VACANT LAND,0,0,0,,2016-05-17,2016-05-17,37.318031,-121.945737,100,VACANT LAND +25; <1ac infill +20; owner +5; zoning R1 +12,ATTOM taxassessor (Santa Clara County),"AMBIGUOUS — address resolves to a 2013 condo/townhouse (private, sold $1.24M 2019); city 'vacant' 0.81ac parcel likely complex common-area/remnant; needs APN-level check",zillow.com; redfin.com
3 Municipal,SAN JOSE CITY (CA),340 W SAINT JOHN ST,SAN JOSE,259-36-084,33134,0.761,SANTA CLARA,LI,VACANT LAND,0,0,0,,2003-06-26,,37.334548,-121.897948,100,VACANT LAND +25; <1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),"Vacant land, off-market, downtown SJ near 3rd St Garage (Redfin ~1.03ac vs assessor 0.76ac)",redfin.com
3 Municipal,CITY OF SAN JOSE,,SAN JOSE,659-63-053,33105,0.760,SANTA CLARA,R1,VACANT LAND,0,0,0,,2005-07-07,2005-07-07,37.315356,-121.7744,100,VACANT LAND +25; <1ac infill +20; owner +5; zoning R1 +12,ATTOM taxassessor (Santa Clara County),,
3 Municipal,MT VIEW CITY,,MOUNTAIN VIEW,116-05-062,32400,0.744,SANTA CLARA,P(1),VACANT LAND,0,0,0,,,,37.425132,-122.086855,100,VACANT LAND +25; <1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
2 Santa Clara County,SANTA CLARA COUNTY CTRL FIRE,21000 SEVEN SPRINGS PKWY # PY,CUPERTINO,366-26-035,31910,0.733,SANTA CLARA,R1,VACANT LAND,0,0,0,,2001-11-29,2001-11-29,37.297937,-122.041643,100,VACANT LAND +25; <1ac infill +20; owner +5; zoning R1 +12,ATTOM taxassessor (Santa Clara County),"NOT vacant — active Seven Springs Fire Station (Station 72; Engine/Hazmat/Battalion 72), county fire. Assessor 'vacant land' is incorrect; not buildable",countyoffice.org; yourfiredepartment.org
3 Municipal,CITY OF SAN JOSE,335 EMORY ST,SAN JOSE,259-03-035,31860,0.731,SANTA CLARA,R1-8,VACANT LAND,0,0,0,,1989-03-22,,37.347333,-121.909532,100,VACANT LAND +25; <1ac infill +20; owner +5; zoning R1-8 +12,ATTOM taxassessor (Santa Clara County),"UNVERIFIED — 335 not indexed on listing sites; city-owned 0.73ac R1-8 in residential area near downtown/Rose Garden, off-market; needs GIS/site check",redfin.com (no exact match)
3 Municipal,SAN JOSE CITY,,SAN JOSE,097-09-027,31799,0.730,SANTA CLARA,IP,VACANT LAND,0,0,0,,,1990-04-10,37.401245,-121.933607,100,VACANT LAND +25; <1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SANTA CLARA CITY,,SANTA CLARA,224-08-150,31050,0.713,SANTA CLARA,ML,VACANT LAND,0,0,0,,2009-03-11,2009-03-11,37.375858,-121.954319,100,VACANT LAND +25; <1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
4 School / Public Ed,PALO ALTO UNIFIED SCHOOL DISTR,569 SAN ANTONIO RD,PALO ALTO,147-08-046,30943,0.710,SANTA CLARA,R1B8,VACANT LAND,0,0,0,,2011-11-01,2011-11-01,37.415157,-122.104644,100,VACANT LAND +25; <1ac infill +20; owner +5; zoning R1B8 +12,ATTOM taxassessor (Santa Clara County),NOT vacant — operating preschool/daycare (Building Kidz of Palo Alto South) on Palo Alto Unified SD land (in use/leased). Assessor 'vacant' incorrect,yelp.com; care.com; buildingkidzschool.com
3 Municipal,CITY OF CAMPBELL,930 DELL AVE,CAMPBELL,424-40-009,29969,0.688,SANTA CLARA,M-1,VACANT LAND,1553941,0,1553941,0.000,2021-12-15,2021-12-15,37.272981,-121.951932,100,VACANT LAND +25; <1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),"Vacant land ~0.68ac, off-market (last sold $1.5M 2019); M-1 light-industrial, Campbell",redfin.com; zillow.com
3 Municipal,CITY OF SAN JOSE,,SAN JOSE,434-16-059,29250,0.671,SANTA CLARA,R1,VACANT LAND,0,0,0,,2011-12-23,2011-12-23,37.308937,-121.890415,100,VACANT LAND +25; <1ac infill +20; owner +5; zoning R1 +12,ATTOM taxassessor (Santa Clara County),,
4 School / Public Ed,SAN JOSE UNIFIED SCHOOL DISTRI,,SAN JOSE,249-63-044,29200,0.670,SANTA CLARA,R1,VACANT LAND,0,0,0,,2003-06-16,,37.354237,-121.875754,100,VACANT LAND +25; <1ac infill +20; owner +5; zoning R1 +12,ATTOM taxassessor (Santa Clara County),,
3 Municipal,CITY OF SAN JOSE,,SAN JOSE,467-12-014,29148,0.669,SANTA CLARA,,VACANT LAND,0,0,0,,2006-06-22,2006-06-22,37.345624,-121.872056,100,VACANT LAND +25; <1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,659-48-067,28979,0.665,SANTA CLARA,R1B1,VACANT LAND,0,0,0,,,,37.313942,-121.780184,100,VACANT LAND +25; <1ac infill +20; owner +5; zoning R1B1 +12,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,254-19-045,28950,0.665,SANTA CLARA,R18PD,VACANT LAND,0,0,0,,,1981-11-25,37.37088,-121.863483,100,VACANT LAND +25; <1ac infill +20; owner +5; zoning R18PD +12,ATTOM taxassessor (Santa Clara County),,
2 Santa Clara County,SANTA CLARA COUNTY,,SAN JOSE,462-14-025,28240,0.648,SANTA CLARA,,VACANT LAND,0,0,0,,,,37.270943,-121.860758,100,VACANT LAND +25; <1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY (CA),,SAN JOSE,660-64-114,27875,0.640,SANTA CLARA,R1,VACANT LAND,0,0,0,,2001-04-11,,37.312601,-121.75933,100,VACANT LAND +25; <1ac infill +20; owner +5; zoning R1 +12,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,601-10-070,27800,0.638,SANTA CLARA,C1,VACANT LAND,0,0,0,,,1987-12-31,37.366899,-121.827689,100,VACANT LAND +25; <1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,403-38-001,27230,0.625,SANTA CLARA,R1,VACANT LAND,0,0,0,,,1981-04-28,37.272523,-121.993725,100,VACANT LAND +25; <1ac infill +20; owner +5; zoning R1 +12,ATTOM taxassessor (Santa Clara County),,
3 Municipal,CITY OF SAN JOSE,,SAN JOSE,659-62-083,27023,0.620,SANTA CLARA,R1-25,VACANT LAND,34946,0,34946,0.000,2023-05-03,,37.322839,-121.770315,100,VACANT LAND +25; <1ac infill +20; owner +5; zoning R1-25 +12,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,670-30-023,27007,0.620,SANTA CLARA,R16PD,VACANT LAND,0,0,0,,,1979-05-31,37.317153,-121.810246,100,VACANT LAND +25; <1ac infill +20; owner +5; zoning R16PD +12,ATTOM taxassessor (Santa Clara County),,
